Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
30775,ID-2014-80601,03-02-2014,07-02-2014,Standard Class,BE-11455,Brad Eason,OFF-ST-10004159,Office Supplies,Storage,"Eldon Lockers, Blue",474.984,4,0.4,-300.936,33.29,Medium
30776,ID-2014-83499,16-12-2014,17-12-2014,First Class,RF-19840,Roy Franzsisch,OFF-EN-10003729,Office Supplies,Envelopes,"Kraft Manila Envelope, Recycled",30.348,2,0.4,-4.572,6.48,High
30777,ID-2014-85487,26-12-2014,30-12-2014,Standard Class,DM-13015,Darrin Martin,OFF-AR-10001162,Office Supplies,Art,"BIC Pencil Sharpener, Blue",243.684,14,0.4,-89.376,29.45,High
30778,IN-2014-86376,28-05-2014,04-06-2014,Standard Class,TS-21505,Tony Sayre,OFF-ST-10002515,Office Supplies,Storage,"Eldon Lockers, Wire Frame",236.376,2,0.4,11.796,27.48,Low
30779,IN-2013-82554,19-02-2013,26-02-2013,Standard Class,RD-19660,Robert Dilbeck,FUR-FU-10000366,Furniture,Furnishings,"Deflect-O Door Stop, Durable",327.84,8,0.0,134.4,26.34,Medium
30780,IN-2013-82554,19-02-2013,26-02-2013,Standard Class,RD-19660,Robert Dilbeck,TEC-CO-10001445,Technology,Copiers,"Brother Personal Copier, High-Speed",1128.72,8,0.0,485.28,124.57,Medium
30781,IN-2013-86824,27-03-2013,27-03-2013,Same Day,JE-16165,Justin Ellison,TEC-CO-10000415,Technology,Copiers,"Brother Ink, Color",594.96,4,0.0,29.64,139.79,Critical
30782,IN-2012-81637,28-06-2012,30-06-2012,Second Class,TH-21100,Thea Hendricks,OFF-EN-10002491,Office Supplies,Envelopes,"GlobeWeis Mailers, Recycled",44.82,2,0.4,3.72,5.94,Critical
30783,IN-2011-82078,10-05-2011,17-05-2011,Standard Class,EM-14200,Evan Minnotte,TEC-MA-10003536,Technology,Machines,"Konica Calculator, Red",195.12,4,0.0,23.4,24.8,Low
30784,ID-2012-83030,18-01-2012,22-01-2012,Standard Class,TC-21145,Theresa Coyne,OFF-ST-10002424,Office Supplies,Storage,"Smead Trays, Industrial",58.752,2,0.4,-23.508,10.21,High
30785,ID-2012-83030,18-01-2012,22-01-2012,Standard Class,TC-21145,Theresa Coyne,OFF-BI-10000636,Office Supplies,Binders,"Ibico Hole Reinforcements, Recycled",35.28,8,0.4,-2.4,5.87,High
30786,ID-2012-83030,18-01-2012,22-01-2012,Standard Class,TC-21145,Theresa Coyne,FUR-CH-10004448,Furniture,Chairs,"Hon Chairmat, Set of Two",69.336,2,0.4,4.596,5.46,High
30787,IN-2013-85340,08-02-2013,08-02-2013,Same Day,BD-11725,Bruce Degenhardt,FUR-CH-10003312,Furniture,Chairs,"SAFCO Swivel Stool, Adjustable",340.86,2,0.0,122.7,49.2,Critical
30788,IN-2011-82330,07-10-2011,13-10-2011,Standard Class,AA-10375,Allen Armold,FUR-BO-10001309,Furniture,Bookcases,"Ikea Classic Bookcase, Traditional",411.75,1,0.0,86.46,44.82,Low
30789,IN-2011-82330,07-10-2011,13-10-2011,Standard Class,AA-10375,Allen Armold,OFF-PA-10003273,Office Supplies,Paper,"Green Bar Cards & Envelopes, Premium",290.34,6,0.0,2.88,34.74,Low
30790,ID-2014-83219,05-08-2014,10-08-2014,Standard Class,SW-20245,Scot Wooten,TEC-MA-10003349,Technology,Machines,"Panasonic Calculator, Wireless",60.336,2,0.4,-26.184,4.11,Medium
30791,ID-2014-83219,05-08-2014,10-08-2014,Standard Class,SW-20245,Scot Wooten,OFF-ST-10002250,Office Supplies,Storage,"Smead Folders, Industrial",43.128,4,0.4,4.248,3.84,Medium
30792,ID-2011-83716,07-06-2011,11-06-2011,Standard Class,NR-18550,Nick Radford,OFF-SU-10001840,Office Supplies,Supplies,"Stiletto Box Cutter, High Speed",43.164,2,0.4,-11.556,4.19,High
30793,ID-2011-83716,07-06-2011,11-06-2011,Standard Class,NR-18550,Nick Radford,TEC-AC-10002881,Technology,Accessories,"Belkin Numeric Keypad, Bluetooth",69.3,2,0.4,3.42,9.59,High
30794,ID-2011-83716,07-06-2011,11-06-2011,Standard Class,NR-18550,Nick Radford,OFF-BI-10000305,Office Supplies,Binders,"Cardinal 3-Hole Punch, Durable",109.08,6,0.4,0.0,5.38,High
30795,ID-2011-83716,07-06-2011,11-06-2011,Standard Class,NR-18550,Nick Radford,OFF-ST-10003012,Office Supplies,Storage,"Tenex Folders, Industrial",85.32,6,0.4,-27.18,10.46,High
30796,ID-2011-83716,07-06-2011,11-06-2011,Standard Class,NR-18550,Nick Radford,OFF-PA-10001259,Office Supplies,Paper,"Green Bar Note Cards, 8.5 x 11",35.64,2,0.4,2.34,4.98,High
30797,ID-2014-84206,05-12-2014,09-12-2014,Standard Class,MG-18205,Mitch Gastineau,TEC-PH-10000072,Technology,Phones,"Cisco Speaker Phone, VoIP",166.284,2,0.4,-72.096,8.98,Medium
30798,ID-2014-84206,05-12-2014,09-12-2014,Standard Class,MG-18205,Mitch Gastineau,TEC-CO-10003017,Technology,Copiers,"Sharp Ink, Laser",447.876,6,0.4,-283.824,12.38,Medium
