Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
10259,US-2013-128643,12-08-2013,16-08-2013,Standard Class,PO-18850,Patrick O'Brill,FUR-TA-10003539,Furniture,Tables,"Bevis Wood Table, Fully Assembled",142.688,1,0.6,-160.532,6.37,Medium
10260,US-2012-113411,12-10-2012,17-10-2012,Second Class,EH-13990,Erica Hackney,OFF-AR-10002811,Office Supplies,Art,"Stanley Pens, Water Color",7.056,2,0.6,-10.264,0.52,Medium
10261,US-2012-166457,20-12-2012,24-12-2012,Second Class,EJ-13720,Ed Jacobs,OFF-EN-10003731,Office Supplies,Envelopes,"GlobeWeis Mailers, Set of 50",30.84,3,0.6,-26.22,3.22,Medium
10262,US-2014-124695,21-07-2014,26-07-2014,Standard Class,DJ-13510,Don Jones,FUR-CH-10000920,Furniture,Chairs,"Novimex Executive Leather Armchair, Adjustable",242.944,2,0.6,-230.816,20.68,High
10263,US-2014-124695,21-07-2014,26-07-2014,Standard Class,DJ-13510,Don Jones,OFF-EN-10004788,Office Supplies,Envelopes,"Ames Mailers, Recycled",36.96,4,0.6,-10.24,3.47,High
10264,US-2014-124695,21-07-2014,26-07-2014,Standard Class,DJ-13510,Don Jones,OFF-FA-10003850,Office Supplies,Fasteners,"Stockwell Push Pins, 12 Pack",10.728,3,0.6,-15.852,0.99,High
10265,US-2014-164098,02-04-2014,09-04-2014,Standard Class,KM-16720,Kunst Miller,OFF-BI-10001546,Office Supplies,Binders,"Acco Index Tab, Clear",4.576,2,0.6,-3.784,0.76,Low
10266,US-2014-164098,02-04-2014,09-04-2014,Standard Class,KM-16720,Kunst Miller,OFF-ST-10001335,Office Supplies,Storage,"Tenex Trays, Blue",28.912,2,0.6,-36.888,4.02,Low
10267,US-2014-165491,21-11-2014,26-11-2014,Second Class,BB-11545,Brenda Bowman,OFF-FA-10004108,Office Supplies,Fasteners,"Accos Rubber Bands, 12 Pack",21.48,5,0.6,-17.82,2.16,Medium
10268,US-2014-138051,03-09-2014,07-09-2014,Second Class,MN-17935,Michael Nguyen,OFF-BI-10000051,Office Supplies,Binders,"Ibico Binding Machine, Economy",68.56,5,0.6,-37.74,9.15,Medium
10269,US-2014-138051,03-09-2014,07-09-2014,Second Class,MN-17935,Michael Nguyen,OFF-SU-10004317,Office Supplies,Supplies,"Kleencut Box Cutter, Easy Grip",19.344,2,0.6,-15.976,1.17,Medium
10270,US-2011-131807,21-04-2011,27-04-2011,Standard Class,VG-21790,Vivek Gonzalez,FUR-CH-10002481,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",367.704,3,0.6,-284.976,26.23,Medium
10271,US-2013-155264,05-09-2013,12-09-2013,Standard Class,AG-10765,Anthony Garverick,OFF-ST-10000711,Office Supplies,Storage,"Fellowes Box, Single Width",42.048,8,0.6,-54.752,3.61,Medium
10272,US-2013-155264,05-09-2013,12-09-2013,Standard Class,AG-10765,Anthony Garverick,OFF-AR-10001029,Office Supplies,Art,"Stanley Sketch Pad, Water Color",50.784,4,0.6,-15.296,4.51,Medium
10273,US-2011-157917,07-10-2011,10-10-2011,Second Class,LS-16975,Lindsay Shagiari,OFF-AR-10002419,Office Supplies,Art,"Sanford Markers, Fluorescent",13.072,2,0.6,-13.408,0.91,Medium
10274,US-2012-158323,04-07-2012,04-07-2012,Same Day,CL-11890,Carl Ludwig,TEC-PH-10000808,Technology,Phones,"Samsung Smart Phone, Cordless",1363.2,8,0.6,-1806.24,255.17,Critical
10275,US-2014-109967,20-11-2014,25-11-2014,Standard Class,KB-16405,Katrina Bavinger,FUR-FU-10003725,Furniture,Furnishings,"Advantus Light Bulb, Erganomic",14.952,3,0.6,-22.428,1.25,Medium
10276,US-2014-129161,13-09-2014,13-09-2014,Same Day,DH-13675,Duane Huffman,FUR-CH-10004992,Furniture,Chairs,"Hon Bag Chairs, Red",36.12,3,0.6,-50.58,7.33,Critical
10277,US-2012-114860,26-11-2012,30-11-2012,Standard Class,AP-10915,Arthur Prichep,OFF-SU-10000113,Office Supplies,Supplies,"Acme Shears, Easy Grip",54.976,4,0.6,-46.784,4.13,Medium
10278,US-2014-148579,17-04-2014,22-04-2014,Standard Class,SB-20290,Sean Braxton,OFF-ST-10000711,Office Supplies,Storage,"Fellowes Box, Single Width",31.536,6,0.6,-41.064,3.19,High
10279,US-2013-151841,21-01-2013,25-01-2013,Second Class,DW-13540,Don Weiss,OFF-ST-10003489,Office Supplies,Storage,"Smead Shelving, Wire Frame",25.6,2,0.6,-35.2,1.32,Medium
10280,US-2013-151841,21-01-2013,25-01-2013,Second Class,DW-13540,Don Weiss,FUR-BO-10001276,Furniture,Bookcases,"Safco Floating Shelf Set, Mobile",159.408,3,0.6,-47.832,6.64,Medium
10281,US-2013-151841,21-01-2013,25-01-2013,Second Class,DW-13540,Don Weiss,TEC-PH-10004503,Technology,Phones,"Apple Audio Dock, VoIP",133.584,3,0.6,-187.056,8.14,Medium
10282,US-2013-151841,21-01-2013,25-01-2013,Second Class,DW-13540,Don Weiss,FUR-TA-10001100,Furniture,Tables,"Barricks Computer Table, Fully Assembled",511.264,4,0.6,-178.976,8.83,Medium
10283,US-2011-119053,29-01-2011,03-02-2011,Standard Class,RP-19390,Resi Plking,FUR-TA-10003887,Furniture,Tables,"Hon Conference Table, Adjustable Height",492.624,2,0.6,-468.016,31.54,Medium
10284,US-2013-160332,23-03-2013,25-03-2013,Second Class,PK-19075,Pete Kriz,OFF-LA-10003821,Office Supplies,Labels,"Smead Shipping Labels, Alphabetical",6.096,2,0.6,-3.224,1.22,High
10285,US-2013-160332,23-03-2013,25-03-2013,Second Class,PK-19075,Pete Kriz,TEC-PH-10001475,Technology,Phones,"Cisco Office Telephone, VoIP",64.44,3,0.6,-30.66,6.08,High
10286,US-2013-104486,11-04-2013,16-04-2013,Standard Class,MP-17965,Michael Paige,TEC-PH-10001475,Technology,Phones,"Cisco Office Telephone, VoIP",107.4,5,0.6,-51.1,4.42,Medium
10287,US-2013-127817,18-02-2013,22-02-2013,Standard Class,DN-13690,Duane Noonan,FUR-TA-10003887,Furniture,Tables,"Hon Conference Table, Adjustable Height",985.248,4,0.6,-936.032,67.85,High
10288,US-2013-139409,02-09-2013,07-09-2013,Standard Class,DL-13330,Denise Leinenbach,OFF-PA-10003939,Office Supplies,Paper,"Enermax Note Cards, Multicolor",52.224,6,0.6,-47.016,4.27,Medium
10289,US-2012-145282,04-04-2012,07-04-2012,First Class,LS-17230,Lycoris Saunders,TEC-CO-10000961,Technology,Copiers,"Canon Copy Machine, Color",279.74624,4,0.602,-120.97376,62.41,Critical
10290,US-2012-145282,04-04-2012,07-04-2012,First Class,LS-17230,Lycoris Saunders,OFF-LA-10000927,Office Supplies,Labels,"Hon Shipping Labels, Adjustable",7.416,3,0.6,-8.184,2.28,Critical
10291,US-2012-145282,04-04-2012,07-04-2012,First Class,LS-17230,Lycoris Saunders,OFF-EN-10003416,Office Supplies,Envelopes,"Jiffy Peel and Seal, with clear poly window",6.28,1,0.6,-6.44,1.43,Critical
10292,US-2012-106523,10-02-2012,14-02-2012,Standard Class,RB-19795,Ross Baird,FUR-CH-10003155,Furniture,Chairs,"Harbour Creations Bag Chairs, Red",49.296,3,0.6,-40.704,5.19,High
10293,US-2013-168032,04-11-2013,08-11-2013,Standard Class,BS-11380,Bill Stewart,FUR-BO-10004238,Furniture,Bookcases,"Ikea Corner Shelving, Pine",66.352,2,0.6,-19.928,6.7,High
10294,US-2013-159870,10-12-2013,10-12-2013,Same Day,JR-15700,Jocasta Rupert,TEC-AC-10002153,Technology,Accessories,"Logitech Memory Card, Bluetooth",275.68,10,0.6,-227.52,79.83,Critical
10295,ES-2014-1311038,07-02-2014,11-02-2014,Standard Class,AS-10045,Aaron Smayling,OFF-ST-10000988,Office Supplies,Storage,"Fellowes Folders, Blue",79.2,3,0.0,39.6,12.95,High
10296,ES-2014-1311038,07-02-2014,11-02-2014,Standard Class,AS-10045,Aaron Smayling,TEC-AC-10004144,Technology,Accessories,"SanDisk Numeric Keypad, Bluetooth",388.92,7,0.0,0.0,78.74,High
