Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
20517,ID-2014-53679,29-10-2014,05-11-2014,Standard Class,PP-18955,Paul Prost,OFF-BI-10003012,Office Supplies,Binders,"Wilson Jones Hole Reinforcements, Economy",5.436,2,0.4,0.216,0.29,Medium
20518,ID-2014-53679,29-10-2014,05-11-2014,Standard Class,PP-18955,Paul Prost,TEC-PH-10004618,Technology,Phones,"Motorola Speaker Phone, VoIP",701.298,9,0.4,-257.202,47.38,Medium
20519,ID-2014-65173,27-11-2014,02-12-2014,Standard Class,CS-12355,Christine Sundaresam,OFF-LA-10000506,Office Supplies,Labels,"Harbour Creations Legal Exhibit Labels, Laser Printer Compatible",11.607,2,0.47,-3.993,1.35,High
20520,IN-2014-39735,17-03-2014,22-03-2014,Second Class,BE-11455,Brad Eason,OFF-AP-10000043,Office Supplies,Appliances,"Cuisinart Toaster, Silver",195.156,4,0.1,64.956,23.51,Medium
20521,IN-2014-39735,17-03-2014,22-03-2014,Second Class,BE-11455,Brad Eason,TEC-CO-10003777,Technology,Copiers,"Hewlett Copy Machine, Color",3299.562,14,0.1,366.282,336.02,Medium
20522,IN-2014-39735,17-03-2014,22-03-2014,Second Class,BE-11455,Brad Eason,OFF-BI-10000373,Office Supplies,Binders,"Ibico Hole Reinforcements, Economy",37.746,6,0.1,0.666,1.87,Medium
20523,ID-2014-61169,12-12-2014,16-12-2014,Standard Class,EB-13930,Eric Barreto,OFF-EN-10002700,Office Supplies,Envelopes,"Kraft Interoffice Envelope, with clear poly window",80.2314,3,0.47,-18.2286,7.26,Medium
20524,IN-2012-40043,08-08-2012,12-08-2012,Standard Class,SF-20065,Sandra Flanagan,TEC-CO-10004535,Technology,Copiers,"Hewlett Fax Machine, High-Speed",954.36,3,0.0,343.53,151.73,High
20525,IN-2014-66965,16-04-2014,21-04-2014,Standard Class,EG-13900,Emily Grady,OFF-SU-10003897,Office Supplies,Supplies,"Stiletto Ruler, High Speed",93.744,7,0.1,14.574,6.44,Medium
20526,IN-2014-66965,16-04-2014,21-04-2014,Standard Class,EG-13900,Emily Grady,TEC-MA-10001261,Technology,Machines,"Konica Printer, Wireless",1687.392,7,0.1,674.772,50.75,Medium
20527,IN-2014-66965,16-04-2014,21-04-2014,Standard Class,EG-13900,Emily Grady,OFF-AP-10001503,Office Supplies,Appliances,"KitchenAid Microwave, Black",1393.875,5,0.1,572.925,112.03,Medium
20528,IN-2014-66965,16-04-2014,21-04-2014,Standard Class,EG-13900,Emily Grady,TEC-CO-10002674,Technology,Copiers,"Sharp Fax and Copier, High-Speed",750.6,5,0.1,-33.45,66.32,Medium
20529,IN-2014-79698,02-09-2014,06-09-2014,Standard Class,EH-13945,Eric Hoffmann,TEC-AC-10003407,Technology,Accessories,"Memorex Mouse, Erganomic",155.88,6,0.0,21.78,10.2,Medium
20530,IN-2014-56241,11-11-2014,15-11-2014,Standard Class,HZ-14950,Henia Zydlo,TEC-PH-10001921,Technology,Phones,"Nokia Signal Booster, with Caller ID",136.5,1,0.0,15.0,9.96,Medium
20531,IN-2014-78438,25-08-2014,25-08-2014,Same Day,MC-17275,Marc Crier,OFF-EN-10003540,Office Supplies,Envelopes,"Cameo Mailers, Set of 50",63.3456,2,0.17,16.7856,12.67,Medium
20532,IN-2014-78438,25-08-2014,25-08-2014,Same Day,MC-17275,Marc Crier,OFF-AR-10002109,Office Supplies,Art,"Binney & Smith Sketch Pad, Fluorescent",78.9828,2,0.17,10.4628,16.64,Medium
20533,IN-2014-78438,25-08-2014,25-08-2014,Same Day,MC-17275,Marc Crier,TEC-PH-10003075,Technology,Phones,"Samsung Signal Booster, Full Size",457.7616,4,0.17,-82.8384,99.87,Medium
20534,IN-2011-31398,02-12-2011,02-12-2011,Same Day,JD-16060,Julia Dunbar,OFF-LA-10003644,Office Supplies,Labels,"Novimex Removable Labels, Adjustable",23.31,3,0.0,4.86,2.75,High
20535,IN-2011-31398,02-12-2011,02-12-2011,Same Day,JD-16060,Julia Dunbar,OFF-LA-10004918,Office Supplies,Labels,"Harbour Creations Round Labels, Alphabetical",13.14,2,0.0,1.26,0.87,High
20536,IN-2011-31398,02-12-2011,02-12-2011,Same Day,JD-16060,Julia Dunbar,FUR-CH-10003551,Furniture,Chairs,"Hon Swivel Stool, Black",644.88,4,0.0,309.48,22.55,High
20537,IN-2013-55576,21-02-2013,27-02-2013,Standard Class,LS-17230,Lycoris Saunders,TEC-MA-10004428,Technology,Machines,"Panasonic Card Printer, Durable",626.184,4,0.1,257.424,50.77,Medium
20538,IN-2011-37481,02-05-2011,05-05-2011,Second Class,RH-19495,Rick Hansen,OFF-ST-10004365,Office Supplies,Storage,"Fellowes Shelving, Wire Frame",236.1765,5,0.17,85.2765,47.87,High
